CompanyID,Lifetime_Park Place,Lifetime_Boardwalk,Lifetime_StJamesPlace,Lifetime_Marvin Gardens,Lifetime_Ventnor,Lifetime_Kentucky,Lifetime_Tennessee,Lifetime_Pennslyvania,Last_Month_Park Place,Last_Month_Boardwalk,Last_Month_StJamesPlace,Last_Month_Marvin Gardens,Last_Month_Ventnor,Last_Month_Kentucky,Last_Month_Tennessee,Last_Month_Pennslyvania
350944369,,,-0.003153883,,,,,,,,-0.119502065,,,,,
58609337,,,,,,,-0.047790174,,,,,,,,-0.119224571,
76942564,,,-0.022349201,,,,,,,,-0.121580587,,,,,
355039124,0.059405398,,,,,,,,-0.10115681,,,,,,,
94489027,,,0.033198967,,,,,,,,-0.086858893,,,,,
25543595,0.288745643,,,,,,0.276271828,,-0.023864413,,,,,,-0.02697961,
3261240,,,,-0.005729521,,,,,,,,-0.112867963,,,,
347666212,,,,0.088063269,,,,,,,,-0.105805486,,,,
353941062,,,,,,,-0.014557779,,,,,,,,-0.133720911,
1240158733,,,,-0.056753653,,,,,,,,-0.140236656,,,,
24134375,,,,,,,0.15053001,,,,,,,,-0.08088302,
28282752,-0.043872192,,,,,,-0.032051921,,-0.124914099,,,,,,-0.132009398,
36133055,,-0.038550285,,,,,,,,-0.143219769,,,,,,
352395432,,,,,,,-0.02311416,,,,,,,,-0.136722027,
348300816,,,,,,,-0.027025617,,,,,,,,-0.128599601,
21135666,,,,,,,0.121741454,,,,,,,,-0.093779939,
401877622,,,,,,,-0.034741503,,,,,,,,-0.126950748,
359349490,,,,,,,-0.015136444,,,,,,,,-0.108751997,
76480699,,,,,,,0.026628325,,,,,,,,-0.088600245,
36048851,,,,,,,-0.052578111,,,,,,,,-0.145750636,
343969235,-0.020859674,,,,,,-0.070306855,,-0.137569727,,,,,,-0.122989542,
348419347,,,,0.260725166,,,,,,,,-0.006839593,,,,
354474492,,,,,,,0.026055615,,,,,,,,-0.098106164,
359514981,,-0.001798898,-0.00317626,0.066344476,,0.013999793,-0.005581192,,,0.274563163,0.352579233,-0.114827829,,-0.110863739,0.184331974,
30376081,,,0.158010956,,,,,,,,-0.070310787,,,,,
58411156,,0.040092987,,,-0.02156472,0.021874256,0.007354194,,,-0.078104198,,,-0.065268248,-0.085379919,-0.107508942,
75727810,,,-0.059330586,,,,,,,,-0.14308878,,,,,
5606185,,,,,,,-0.070523849,,,,,,,,-0.159322095,
352189129,,,,,,,0.033476481,,,,,,,,-0.117497443,
194675030,,,,,,,0.066865853,,,,,,,,-0.106013557,
353351969,,,,,,,0.147222755,,,,,,,,-0.089765621,
358583767,,,0.786398908,,,,,,,,0.316466089,,,,,
57033934,,,-0.01518531,,,,,,,,-0.117345567,,,,,
1936110,,,-0.074541897,,,,,,,,-0.128499643,,,,,
454881960,,,0.394025625,,,,,,,,0.127401291,,,,,
9306384,,-0.036113771,,,,,,,,-0.140366252,,,,,,
343552498,,,,0.369741336,,,,,,,,0.022649692,,,,
28426904,,,,-0.019655356,,,,,,,,-0.127348091,,,,
